subject_category	ENVO	bl:EnvironmentalFeature	bl:EnvironmentalProcess	bl:EnvironmentalSystem	bl:EnvironmentalZone	entity	food material	stellar radiation	terrestrial ecoregion
activities	3	35	26	2	2	37	0	0	0
activities|land management	0	0	2	1	0	0	0	0	0
activities|land management|resources	0	6	0	21	0	0	0	0	0
activities|methods	0	0	0	2	0	0	0	0	0
activities|methods|systems	0	0	0	3	0	0	0	0	0
activities|subjects	0	2	0	0	0	2	0	0	0
activities|systems	0	0	0	4	0	0	0	0	0
activities|technology	0	0	0	2	0	3	0	0	0
entities	52	64	3	29	0	89	0	0	0
entities|features	0	1	0	0	0	0	0	0	0
entities|measure	0	0	0	0	0	1	0	0	0
entities|measure|phenomena	0	3	5	0	0	0	0	0	0
entities|phenomena	0	2	12	0	0	0	0	0	0
factors	0	0	12	0	0	16	0	0	0
features	9	121	0	26	38	33	0	0	0
features|resources	0	66	0	25	1	6	0	0	0
groups	0	3	0	0	2	2	0	0	0
http://aims.fao.org/aos/agrovoc	0	0	0	0	1	0	0	0	0
location	0	8	0	3	18	2	0	0	2
measure	0	2	2	0	0	3	0	0	0
measure|phenomena	0	0	2	0	0	0	0	0	0
measure|phenomena|properties	0	0	2	0	0	0	0	0	0
measure|properties	0	0	0	0	0	10	0	0	0
methods	0	7	2	0	0	8	0	0	0
objects	1	3	1	0	0	17	0	0	0
organisms	1	3	3	0	5	4	0	0	0
phenomena	2	30	90	1	5	35	0	2	0
phenomena|resources	0	0	0	0	0	4	0	0	0
phenomena|subjects	0	0	0	0	0	1	0	0	0
processes	0	0	1	0	0	0	0	0	0
products	5	1	0	0	0	10	7	0	0
products|substances	3	0	0	4	4	5	0	0	0
properties	0	0	2	0	1	12	0	0	0
properties|substances	0	0	0	0	0	2	0	0	0
resources	2	5	0	4	2	21	0	0	0
site	0	1	0	1	0	3	0	0	0
stages	0	2	0	0	0	5	0	0	0
state	4	1	0	0	0	13	0	0	0
subjects	0	2	4	0	0	6	0	0	0
substances	36	4	4	3	1	155	0	0	0
systems	2	2	0	16	2	7	0	0	0
technology	0	0	0	0	0	5	0	0	0
time	0	15	0	0	0	8	0	0	0
